rule,side,return_low,return_high,close_location,relative_volume,minimum_price,horizon,train_n,train_mean_return,train_median_return,train_win_rate,train_profit_factor,train_t_stat,train_worst_trade,train_best_trade,validation_n,validation_mean_return,validation_median_return,validation_win_rate,validation_profit_factor,validation_t_stat,validation_worst_trade,validation_best_trade,test_n,test_mean_return,test_median_return,test_win_rate,test_profit_factor,test_t_stat,test_worst_trade,test_best_trade,sample_size_pass,stable_positive,robust_score
failed_spike_cl0.40_rv3_px3,short,,,0.4,3.0,3.0,40,35,0.21560482529317448,0.2546271578294912,0.7428571428571429,3.8445269163733755,3.205435862423669,-1.1175269515543695,0.8385333379109701,130,0.15575931983964475,0.2577777865254286,0.7153846153846154,2.245817680396151,2.9314352971845787,-4.939878048780487,0.9276223073350136,251,0.28867419684430107,0.39645155882026717,0.8366533864541833,3.790149324504728,6.7197063587621395,-6.923043974027301,0.972499999495653,False,False,0.5581664724864095
failed_spike_cl0.60_rv1.5_px10,short,,,0.6,1.5,10.0,60,61,0.25060936005815126,0.40715721943525796,0.8032786885245902,3.1187985673274343,3.441335434440639,-2.3700001017252603,0.908401488313377,188,0.1345045586164159,0.30623640544907066,0.7393617021276596,1.7471666970384971,2.196877603683017,-6.564560716284275,0.965048923400578,306,0.4186403337635215,0.5466554464438421,0.8627450980392157,5.821623040194485,11.302258635103149,-6.857825917945238,0.9818753584400688,False,False,0.5551183888111231
failed_spike_cl0.60_rv2_px10,short,,,0.6,2.0,10.0,60,61,0.25060936005815126,0.40715721943525796,0.8032786885245902,3.1187985673274343,3.441335434440639,-2.3700001017252603,0.908401488313377,186,0.13291561679869907,0.30623640544907066,0.7365591397849462,1.7304855146569094,2.1486615625897953,-6.564560716284275,0.965048923400578,302,0.4159557265560951,0.5466554464438421,0.8609271523178808,5.7280799311113,11.096278701744005,-6.857825917945238,0.9818753584400688,False,False,0.5485606123993879
failed_spike_cl0.60_rv3_px10,short,,,0.6,3.0,10.0,60,61,0.25060936005815126,0.40715721943525796,0.8032786885245902,3.1187985673274343,3.441335434440639,-2.3700001017252603,0.908401488313377,186,0.13291561679869907,0.30623640544907066,0.7365591397849462,1.7304855146569094,2.1486615625897953,-6.564560716284275,0.965048923400578,300,0.41726349499652865,0.5485055497368059,0.86,5.7115348235886945,11.061978784053652,-6.857825917945238,0.9818753584400688,False,False,0.5485606123993879
failed_spike_cl0.40_rv1.5_px1,short,,,0.4,1.5,1.0,60,35,0.22892382643665893,0.4039224446119547,0.8285714285714286,3.2714062269146194,2.7486870466023197,-1.729534121544597,0.8857692254533093,138,0.15293885235891666,0.2913513477236311,0.717391304347826,1.9889576666719884,2.7882377353587353,-4.955121951219512,0.965048923400578,283,0.3237977367877093,0.4463617295620379,0.8197879858657244,4.195061589590618,8.420883653837345,-6.857825917945238,0.9671212122657082,False,False,0.5480592738539207
failed_spike_cl0.40_rv2_px1,short,,,0.4,2.0,1.0,60,35,0.22892382643665893,0.4039224446119547,0.8285714285714286,3.2714062269146194,2.7486870466023197,-1.729534121544597,0.8857692254533093,138,0.15293885235891666,0.2913513477236311,0.717391304347826,1.9889576666719884,2.7882377353587353,-4.955121951219512,0.965048923400578,282,0.3228877156504944,0.44565832742304623,0.8191489361702128,4.174823751117405,8.369836655955769,-6.857825917945238,0.9671212122657082,False,False,0.5480592738539207
failed_spike_cl0.40_rv5_px3,short,,,0.4,5.0,3.0,40,34,0.21126263108421742,0.2277681104976646,0.7352941176470589,3.70760388339124,3.0561952723656747,-1.1175269515543695,0.8385333379109701,127,0.15386920535484147,0.25888889736599396,0.7165354330708661,2.21853199194106,2.8423171157365914,-4.939878048780487,0.9276223073350136,245,0.3008019785486543,0.3952924791086351,0.8367346938775511,4.3983103831802755,7.582019718014546,-6.923043974027301,0.972499999495653,False,False,0.5470585809812522
failed_spike_cl0.40_rv1.5_px5,short,,,0.4,1.5,5.0,40,34,0.22357715985015858,0.2732352379009207,0.7647058823529411,3.926607068705715,3.2505077798894115,-1.1175269515543695,0.8385333379109701,125,0.15289415654374813,0.25376813717485325,0.712,2.1931321747235724,2.775918505767968,-4.939878048780487,0.9276223073350136,223,0.2922154654693791,0.3946154022216797,0.8340807174887892,3.8712588347591663,6.267036927349377,-6.923043974027301,0.972499999495653,False,False,0.5435919430808739
failed_spike_cl0.40_rv2_px5,short,,,0.4,2.0,5.0,40,34,0.22357715985015858,0.2732352379009207,0.7647058823529411,3.926607068705715,3.2505077798894115,-1.1175269515543695,0.8385333379109701,125,0.15289415654374813,0.25376813717485325,0.712,2.1931321747235724,2.775918505767968,-4.939878048780487,0.9276223073350136,222,0.291320664873376,0.393974363538954,0.8333333333333334,3.849630504771492,6.220911723598569,-6.923043974027301,0.972499999495653,False,False,0.5435919430808739
failed_spike_cl0.40_rv3_px5,short,,,0.4,3.0,5.0,40,34,0.22357715985015858,0.2732352379009207,0.7647058823529411,3.926607068705715,3.2505077798894115,-1.1175269515543695,0.8385333379109701,125,0.15289415654374813,0.25376813717485325,0.712,2.1931321747235724,2.775918505767968,-4.939878048780487,0.9276223073350136,219,0.295378470874927,0.3951724362363901,0.8401826484018264,3.8963093125802093,6.235334222569037,-6.923043974027301,0.972499999495653,False,False,0.5435919430808739
failed_spike_cl0.40_rv10_px3,short,,,0.4,10.0,3.0,40,34,0.21126263108421742,0.2277681104976646,0.7352941176470589,3.70760388339124,3.0561952723656747,-1.1175269515543695,0.8385333379109701,121,0.1513997936831639,0.26034121348086614,0.71900826446281,2.1635555395747703,2.6896315541948583,-4.939878048780487,0.9265689562471179,219,0.28528205676951907,0.3951724362363901,0.8264840182648402,3.9578047874100264,6.531363489011223,-6.923043974027301,0.9556060608950528,False,False,0.5382789629813339
